,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
18303,юр. лицо,получение средств,1958.68,безналичный,Брест,МаксБанк-XQVW-491,30-11-2001,23:31:10,успешно,нет,0.0
18317,физ. лицо,списание средств,298.25,наличный,Брест,Приорбанк-DBKV-281,12-12-2007,23:12:48,неправильный ввод пин-кода,нет,0.0
18321,юр. лицо,получение средств,2861.52,безналичный,Минск,Белинвестбанк-YSIW-791,17-05-2001,23:15:09,успешно,нет,0.0
18329,юр. лицо,списание средств,148.84,наличный,Минск,МаксБанк-VYQF-399,21-02-2001,23:44:23,успешно,нет,0.0
18331,физ. лицо,получение средств,234.53,наличный,Витебск,БелАгропромбанк-EVNW-625,13-09-2015,23:56:20,успешно,нет,0.0
18334,юр. лицо,получение средств,1104.29,наличный,Гродно,Приорбанк-XXYH-947,23-03-2010,23:27:16,успешно,нет,0.0
18353,юр. лицо,списание средств,4553.97,наличный,Брест,МаксБанк-FLEV-636,02-08-2009,23:01:40,успешно,нет,0.0
18379,юр. лицо,получение средств,181.43,наличный,Могилев,Белинвестбанк-EIID-471,21-09-2007,23:06:30,успешно,нет,0.0
18409,юр. лицо,получение средств,3701.03,безналичный,Витебск,БелАгропромбанк-SUHZ-033,24-05-2021,23:40:12,успешно,нет,0.0
18524,физ. лицо,получение средств,2772.05,наличный,Могилев,Белинвестбанк-YAUC-618,01-09-2010,23:27:38,успешно,нет,0.0
18642,физ. лицо,получение средств,557.7,безналичный,Витебск,МаксБанк-HXSD-138,05-06-2015,23:38:31,успешно,нет,0.0
18649,физ. лицо,списание средств,3802.85,безналичный,Могилев,Беларусбанк-HWEV-977,03-07-2015,23:29:56,недостаточно средств,нет,0.0
18706,физ. лицо,получение средств,248.23,безналичный,Гродно,Приорбанк-RTIP-466,02-09-2016,23:37:43,успешно,нет,0.0
18722,юр. лицо,получение средств,2985.58,безналичный,Брест,Беларусбанк-STYQ-359,15-01-2010,23:10:35,успешно,нет,0.0
18725,юр. лицо,получение средств,1551.59,наличный,Витебск,Белинвестбанк-VNWS-579,03-08-2002,23:45:56,успешно,нет,0.0
18743,физ. лицо,получение средств,1629.81,безналичный,Витебск,Приорбанк-CHMQ-600,26-07-2008,23:36:39,успешно,нет,0.0
18764,юр. лицо,списание средств,4907.1,безналичный,Брест,БелАгропромбанк-TTJP-365,28-08-2010,23:05:39,недостаточно средств,да,473.12
18779,физ. лицо,получение средств,2106.24,безналичный,Могилев,БелАгропромбанк-QAHC-995,19-09-2021,23:43:20,успешно,нет,0.0
18782,юр. лицо,получение средств,3628.86,наличный,Витебск,Приорбанк-HCIT-500,18-01-2007,23:59:25,успешно,нет,0.0
18816,физ. лицо,получение средств,2568.45,наличный,Брест,Приорбанк-NQEN-148,21-02-2022,23:20:33,успешно,нет,0.0
18849,юр. лицо,списание средств,3421.7,наличный,Витебск,БелАгропромбанк-TDWZ-263,09-02-2009,23:59:42,успешно,да,122.25
18850,юр. лицо,списание средств,3635.71,безналичный,Гродно,Беларусбанк-KOHN-178,20-09-2023,23:23:38,недостаточно средств,нет,0.0
18861,физ. лицо,получение средств,1811.79,безналичный,Брест,МаксБанк-FIDM-574,20-10-2021,23:48:29,успешно,нет,0.0
18895,физ. лицо,списание средств,1669.12,наличный,Брест,Белинвестбанк-MQUN-387,18-10-2009,23:34:36,недостаточно средств,нет,0.0
18906,физ. лицо,списание средств,2608.74,безналичный,Гомель,БелАгропромбанк-QGMR-864,24-11-2017,23:14:35,недостаточно средств,да,33.65
18969,юр. лицо,получение средств,47.71,безналичный,Минск,БелАгропромбанк-YSPG-611,11-10-2008,23:10:17,успешно,нет,0.0
18984,физ. лицо,списание средств,4591.05,безналичный,Брест,Приорбанк-YHVH-389,29-03-2016,23:17:19,неправильный ввод пин-кода,да,443.96
19008,юр. лицо,списание средств,1820.6,наличный,Витебск,Беларусбанк-YLRX-459,16-03-2005,23:18:23,успешно,да,178.17
19120,юр. лицо,получение средств,3134.82,наличный,Витебск,Приорбанк-LKKI-889,20-02-2002,23:20:11,успешно,нет,0.0
19122,юр. лицо,списание средств,1917.65,наличный,Гродно,БелАгропромбанк-XQYF-097,20-02-2000,23:03:30,успешно,да,60.8
19177,юр. лицо,получение средств,4462.42,наличный,Витебск,МаксБанк-PNDY-364,17-08-2018,23:08:15,успешно,нет,0.0
19182,физ. лицо,списание средств,2900.15,наличный,Гродно,МаксБанк-QKVO-833,16-08-2024,23:40:44,успешно,да,279.9
19183,юр. лицо,списание средств,2189.63,наличный,Витебск,Беларусбанк-CIOH-887,17-03-2020,23:35:28,успешно,нет,0.0
19206,юр. лицо,получение средств,1860.11,безналичный,Гомель,Приорбанк-NKDS-517,15-03-2010,23:54:49,успешно,нет,0.0
19207,юр. лицо,получение средств,3983.02,безналичный,Брест,Беларусбанк-BYGP-666,02-03-2011,23:37:00,успешно,нет,0.0
19291,физ. лицо,списание средств,1700.79,наличный,Витебск,БелАгропромбанк-PFBJ-109,04-06-2000,23:56:18,недостаточно средств,да,120.18
19314,физ. лицо,списание средств,175.92,безналичный,Гродно,МаксБанк-SUHR-887,27-12-2024,23:03:06,неправильный ввод пин-кода,да,16.5
19491,физ. лицо,списание средств,3628.84,безналичный,Брест,МаксБанк-FNBU-926,31-07-2020,23:41:43,неправильный ввод пин-кода,нет,0.0
19534,физ. лицо,списание средств,2049.34,наличный,Минск,Приорбанк-UKEU-709,04-03-2015,23:58:27,успешно,нет,0.0
19550,физ. лицо,списание средств,4889.0,безналичный,Брест,Приорбанк-UONG-792,10-01-2010,23:39:30,недостаточно средств,нет,0.0
19559,физ. лицо,получение средств,30.7,безналичный,Витебск,МаксБанк-OFBC-238,20-12-2000,23:56:26,успешно,нет,0.0
19597,юр. лицо,получение средств,4538.89,безналичный,Гродно,МаксБанк-NASS-124,24-02-2013,23:19:34,успешно,нет,0.0
19643,юр. лицо,списание средств,1128.42,безналичный,Гродно,Приорбанк-KGCF-479,17-07-2014,23:04:31,успешно,да,103.41
19667,физ. лицо,списание средств,3998.17,безналичный,Минск,Беларусбанк-CBZY-725,21-02-2005,23:36:09,недостаточно средств,нет,0.0
19717,юр. лицо,списание средств,1004.95,наличный,Гомель,Беларусбанк-KAYQ-860,10-01-2002,23:14:33,успешно,нет,0.0
19726,юр. лицо,получение средств,1757.82,наличный,Могилев,Беларусбанк-UUZZ-590,08-12-2022,23:14:27,успешно,нет,0.0
19730,физ. лицо,списание средств,513.08,наличный,Минск,БелАгропромбанк-AZZV-789,11-08-2015,23:17:25,неправильный ввод пин-кода,нет,0.0
19731,физ. лицо,получение средств,2805.52,безналичный,Минск,МаксБанк-FXTA-357,25-01-2002,23:25:01,успешно,нет,0.0
